date,Gas
12/1/2014,4117
4/1/2015,4121
2/1/2015,4121
10/1/2014,4127
9/1/2017,4128
4/1/2015,4128
7/1/2017,4129
6/1/2018,4131
9/1/2014,4131
4/1/2015,4132
3/1/2015,4134
8/1/2015,4139
2/1/2016,4139
2/1/2016,4140
1/1/2017,4143
3/1/2015,4150
3/1/2015,4151
7/1/2015,4153
2/1/2015,4155
12/1/2014,4157
4/1/2015,4158
11/1/2015,4159
5/1/2015,4161
11/1/2016,4165
1/1/2018,4167
1/1/2018,4173
3/1/2015,4178
6/1/2017,4178
7/1/2014,4184
2/1/2017,4185
3/1/2018,4186
7/1/2016,4194
10/1/2018,4197
7/1/2014,4200
7/1/2014,4206
10/1/2014,4207
5/1/2015,4209
7/1/2014,4209
9/1/2014,4209
4/1/2016,4211
5/1/2017,4216
7/1/2017,4217
2/1/2015,4222
9/1/2015,4223
12/1/2014,4224
3/1/2016,4225
11/1/2018,4229
7/1/2014,4236
6/1/2015,4237
5/1/2016,4241
6/1/2014,4244
8/1/2014,4244
5/1/2018,4246
6/1/2015,4252
9/1/2014,4255
2/1/2018,4263
12/1/2018,4266
5/1/2015,4273
4/1/2015,4274
9/1/2015,4275
4/1/2016,4277
6/1/2015,4277
5/1/2014,4278
3/1/2015,4282
3/1/2014,4284
5/1/2015,4299
11/1/2014,4301
1/1/2016,4302
9/1/2015,4323
1/1/2018,4326
11/1/2017,4327
12/1/2014,4328
6/1/2015,4334
7/1/2018,4338
3/1/2015,4338
11/1/2014,4342
6/1/2018,4342
5/1/2018,4343
7/1/2014,4345
10/1/2014,4346
8/1/2014,4346
11/1/2018,4350
1/1/2018,4356
11/1/2014,4366
9/1/2015,4372
11/1/2015,4373
5/1/2014,4378
11/1/2014,4385
7/1/2015,4391
12/1/2015,4393
9/1/2015,4395
1/1/2015,4398
6/1/2014,4398
8/1/2017,4400
9/1/2015,4400
5/1/2015,4403
2/1/2015,4404
11/1/2014,4407
2/1/2018,4412
12/1/2014,4413
3/1/2015,4413
3/1/2015,4413
3/1/2015,4415
3/1/2015,4418
9/1/2014,4421
6/1/2015,4424
4/1/2015,4425
9/1/2018,4427
2/1/2016,4429
12/1/2014,4429
11/1/2014,4429
12/1/2016,4436
10/1/2018,4443
9/1/2018,4446
6/1/2014,4447
4/1/2014,4447
12/1/2017,4449
9/1/2017,4449
2/1/2016,4450
12/1/2014,4460
8/1/2015,4468
6/1/2015,4470
2/1/2015,4471
11/1/2017,4474
11/1/2015,4478
4/1/2018,4479
7/1/2017,4480
4/1/2014,4485
8/1/2017,4485
9/1/2014,4486
10/1/2015,4487
4/1/2014,4488
12/1/2015,4492
10/1/2016,4494
3/1/2014,4498
7/1/2014,4500
9/1/2014,4502
11/1/2015,4504
8/1/2018,4516
8/1/2015,4516
2/1/2018,4516
1/1/2015,4525
3/1/2015,4528
9/1/2015,4540
5/1/2016,4542
11/1/2013,4546
4/1/2018,4550
11/1/2017,4553
12/1/2014,4555
2/1/2015,4555
6/1/2014,4561
1/1/2015,4561
10/1/2015,4563
8/1/2015,4572
1/1/2015,4572
2/1/2014,4573
4/1/2014,4573
10/1/2015,4577
7/1/2016,4580
6/1/2014,4583
8/1/2018,4585
3/1/2014,4587
11/1/2015,4593
4/1/2016,4593
1/1/2014,4593
10/1/2016,4597
1/1/2016,4600
5/1/2017,4601
2/1/2017,4609
6/1/2018,4611
5/1/2018,4623
9/1/2017,4630
11/1/2017,4632
3/1/2018,4633
5/1/2015,4634
5/1/2016,4635
4/1/2015,4641
11/1/2014,4650
7/1/2014,4651
3/1/2015,4655
